1 ахкер:	1, 9
2 ахкер:	2, 10
3 ахкер:	3, 21
4 ахкер: 	4, 28
5 ахкер:	5, 51
6 ахкер:	6, 27
7 ахкер:	7(13), 11
8 ахкер: 	8, 22
9 ахкер:	12, 37
10 ахкер:	13, 38
11 ахкер: 	14, 52
12 ахкер:	15, 56
13 ахкер:	16, 42
14 ахкер:	17, 29
15 ахкер: 	23, 39
16 ахкер:	18, 40
17 ахкер:	45, 53
18 ахкер:	45, 57
19 ахкер:	35, 56
20 ахкер:	33, 41
21 ахкер:	45, 54
22 ахкер:	18, 43
23 ахкер:	30, 55
24 ахкер:	46, 54
25 ахкер:	49, 32
26 ахкер:	47, 31
27 ахкер:	24, 34
28 ахкер:	23, 44
29 ахкер:	19, 34
30 ахкер:	20, 26
31 ахкер:	25, 36
